vsalm,"Visual Studio ALM"
whats-new,"What's new"
set-up,"Set up"
upgrade,"Upgrade"
administer,"Administer"
code,Code
build,Build
work,Work
test,Test
release,Release
design,Design
report,Report
install,Install
tfs,TFS
reference,Reference
author-release-definition,"Authoring release definitions"
getting-started,"Getting started"
managing-releases,"Managing releases"
previous-version,"Release Management 2015"
install-release-management,"Install release management"
release-actions,"Release actions"
